num_joint
5
alpha
0.0
-1.5707963267948966192313216916398
0.0
0.0
-1.5707963267948966192313216916398
a_shift
0.0
0.0
289.48866
351.158796
76.0
d_shift
267.0
0.0
0.0
0.0
97.0
